year, name,zone,tech,value
2047,ev_cap_exo,10,60,225
2048,ev_cap_exo,10,60,225
2049,ev_cap_exo,10,60,225
2050,ev_cap_exo,10,60,225
2020,ev_cap_exo,10,61,1
2021,ev_cap_exo,10,61,1
2022,ev_cap_exo,10,61,1
2023,ev_cap_exo,10,61,1
2024,ev_cap_exo,10,61,1
2025,ev_cap_exo,10,61,1
2026,ev_cap_exo,10,61,1
2027,ev_cap_exo,10,61,1
2028,ev_cap_exo,10,61,1
2029,ev_cap_exo,10,61,1
2030,ev_cap_exo,10,61,1
2031,ev_cap_exo,10,61,1
2032,ev_cap_exo,10,61,1
2033,ev_cap_exo,10,61,1
2034,ev_cap_exo,10,61,1
2035,ev_cap_exo,10,61,1
2036,ev_cap_exo,10,61,1
2037,ev_cap_exo,10,61,1
2038,ev_cap_exo,10,61,1
2039,ev_cap_exo,10,61,1
2040,ev_cap_exo,10,61,1
2041,ev_cap_exo,10,61,1
2042,ev_cap_exo,10,61,1
2043,ev_cap_exo,10,61,1
2044,ev_cap_exo,10,61,1
2045,ev_cap_exo,10,61,1
2046,ev_cap_exo,10,61,1
2047,ev_cap_exo,10,61,1
2048,ev_cap_exo,10,61,1
2049,ev_cap_exo,10,61,1
2050,ev_cap_exo,10,61,1
2020,ev_cap_exo,10,70,737
2021,ev_cap_exo,10,70,737
2022,ev_cap_exo,10,70,737
2023,ev_cap_exo,10,70,737
2024,ev_cap_exo,10,70,737
2025,ev_cap_exo,10,70,737
2026,ev_cap_exo,10,70,737
2027,ev_cap_exo,10,70,737
2028,ev_cap_exo,10,70,737
2029,ev_cap_exo,10,70,737
2030,ev_cap_exo,10,70,737
2031,ev_cap_exo,10,70,737
2032,ev_cap_exo,10,70,737
2033,ev_cap_exo,10,70,737
2034,ev_cap_exo,10,70,737
2035,ev_cap_exo,10,70,737
2036,ev_cap_exo,10,70,737
2037,ev_cap_exo,10,70,737
2038,ev_cap_exo,10,70,737
2039,ev_cap_exo,10,70,737
2040,ev_cap_exo,10,70,737
2041,ev_cap_exo,10,70,737
2042,ev_cap_exo,10,70,737
2043,ev_cap_exo,10,70,737
2044,ev_cap_exo,10,70,737
2045,ev_cap_exo,10,70,737
2046,ev_cap_exo,10,70,737
2047,ev_cap_exo,10,70,737
2048,ev_cap_exo,10,70,737
2049,ev_cap_exo,10,70,737
2050,ev_cap_exo,10,70,737
2020,ev_cap_exo,11,50,1631
2021,ev_cap_exo,11,50,1631
2022,ev_cap_exo,11,50,1631
2023,ev_cap_exo,11,50,1631
2024,ev_cap_exo,11,50,1631
2025,ev_cap_exo,11,50,1631
2026,ev_cap_exo,11,50,1631
2027,ev_cap_exo,11,50,1631
2028,ev_cap_exo,11,50,1631
2029,ev_cap_exo,11,50,1631
2030,ev_cap_exo,11,50,1631
2031,ev_cap_exo,11,50,1631
2032,ev_cap_exo,11,50,1631
2033,ev_cap_exo,11,50,1631
2034,ev_cap_exo,11,50,1631
2035,ev_cap_exo,11,50,1631
2036,ev_cap_exo,11,50,1631
2037,ev_cap_exo,11,50,1631
2038,ev_cap_exo,11,50,1631
2039,ev_cap_exo,11,50,1631
2040,ev_cap_exo,11,50,1631
2041,ev_cap_exo,11,50,1631
2042,ev_cap_exo,11,50,1631
2043,ev_cap_exo,11,50,1631
2044,ev_cap_exo,11,50,1631
2045,ev_cap_exo,11,50,1631
2046,ev_cap_exo,11,50,1631
2047,ev_cap_exo,11,50,1631
2048,ev_cap_exo,11,50,1631
2049,ev_cap_exo,11,50,1631
2050,ev_cap_exo,11,50,1631
2020,ev_cap_exo,11,51,507
2021,ev_cap_exo,11,51,507
2022,ev_cap_exo,11,51,507
2023,ev_cap_exo,11,51,507
2024,ev_cap_exo,11,51,507
2025,ev_cap_exo,11,51,507
2026,ev_cap_exo,11,51,507
2027,ev_cap_exo,11,51,507
2028,ev_cap_exo,11,51,507
2029,ev_cap_exo,11,51,507
2030,ev_cap_exo,11,51,507
2031,ev_cap_exo,11,51,507
2032,ev_cap_exo,11,51,507
2033,ev_cap_exo,11,51,507
2034,ev_cap_exo,11,51,507
2035,ev_cap_exo,11,51,507
2036,ev_cap_exo,11,51,507
2037,ev_cap_exo,11,51,507
2038,ev_cap_exo,11,51,507
2039,ev_cap_exo,11,51,507
2040,ev_cap_exo,11,51,507
2041,ev_cap_exo,11,51,507
2042,ev_cap_exo,11,51,507
2043,ev_cap_exo,11,51,507
2044,ev_cap_exo,11,51,507
2045,ev_cap_exo,11,51,507
2046,ev_cap_exo,11,51,507
2047,ev_cap_exo,11,51,507
2048,ev_cap_exo,11,51,507
2049,ev_cap_exo,11,51,507
2050,ev_cap_exo,11,51,507
2020,ev_cap_exo,11,52,0
2021,ev_cap_exo,11,52,0
2022,ev_cap_exo,11,52,0
2023,ev_cap_exo,11,52,0
2024,ev_cap_exo,11,52,0
2025,ev_cap_exo,11,52,0
2026,ev_cap_exo,11,52,0
2027,ev_cap_exo,11,52,0
2028,ev_cap_exo,11,52,0
2029,ev_cap_exo,11,52,0
2030,ev_cap_exo,11,52,0
2031,ev_cap_exo,11,52,0
2032,ev_cap_exo,11,52,0
2033,ev_cap_exo,11,52,0
2034,ev_cap_exo,11,52,0
2035,ev_cap_exo,11,52,0
2036,ev_cap_exo,11,52,0
2037,ev_cap_exo,11,52,0
2038,ev_cap_exo,11,52,0
2039,ev_cap_exo,11,52,0
2040,ev_cap_exo,11,52,0
2041,ev_cap_exo,11,52,0
2042,ev_cap_exo,11,52,0
2043,ev_cap_exo,11,52,0
2044,ev_cap_exo,11,52,0
2045,ev_cap_exo,11,52,0
2046,ev_cap_exo,11,52,0
2047,ev_cap_exo,11,52,0
2048,ev_cap_exo,11,52,0
2049,ev_cap_exo,11,52,0
2050,ev_cap_exo,11,52,0
2020,ev_cap_exo,11,53,44
2021,ev_cap_exo,11,53,44
2022,ev_cap_exo,11,53,44
2023,ev_cap_exo,11,53,44
2024,ev_cap_exo,11,53,44
2025,ev_cap_exo,11,53,44
2026,ev_cap_exo,11,53,44
2027,ev_cap_exo,11,53,44
2028,ev_cap_exo,11,53,44
2029,ev_cap_exo,11,53,44
2030,ev_cap_exo,11,53,44
2031,ev_cap_exo,11,53,44
2032,ev_cap_exo,11,53,44
2033,ev_cap_exo,11,53,44
2034,ev_cap_exo,11,53,44
2035,ev_cap_exo,11,53,44
2036,ev_cap_exo,11,53,44
2037,ev_cap_exo,11,53,44
2038,ev_cap_exo,11,53,44
2039,ev_cap_exo,11,53,44
2040,ev_cap_exo,11,53,44
2041,ev_cap_exo,11,53,44
2042,ev_cap_exo,11,53,44
2043,ev_cap_exo,11,53,44
2044,ev_cap_exo,11,53,44
2045,ev_cap_exo,11,53,44
2046,ev_cap_exo,11,53,44
2047,ev_cap_exo,11,53,44
2048,ev_cap_exo,11,53,44
2049,ev_cap_exo,11,53,44
2050,ev_cap_exo,11,53,44
2020,ev_cap_exo,11,60,41
2021,ev_cap_exo,11,60,41
2022,ev_cap_exo,11,60,41
2023,ev_cap_exo,11,60,41
2024,ev_cap_exo,11,60,41
2025,ev_cap_exo,11,60,41
2026,ev_cap_exo,11,60,41
2027,ev_cap_exo,11,60,41
2028,ev_cap_exo,11,60,41
2029,ev_cap_exo,11,60,41
2030,ev_cap_exo,11,60,41
2031,ev_cap_exo,11,60,41
2032,ev_cap_exo,11,60,41
2033,ev_cap_exo,11,60,41
2034,ev_cap_exo,11,60,41
2035,ev_cap_exo,11,60,41
2036,ev_cap_exo,11,60,41
2037,ev_cap_exo,11,60,41
2038,ev_cap_exo,11,60,41
2039,ev_cap_exo,11,60,41
2040,ev_cap_exo,11,60,41
2041,ev_cap_exo,11,60,41
2042,ev_cap_exo,11,60,41
2043,ev_cap_exo,11,60,41
2044,ev_cap_exo,11,60,41
2045,ev_cap_exo,11,60,41
2046,ev_cap_exo,11,60,41
2047,ev_cap_exo,11,60,41
2048,ev_cap_exo,11,60,41
2049,ev_cap_exo,11,60,41
2050,ev_cap_exo,11,60,41
2020,ev_cap_exo,11,61,0
2021,ev_cap_exo,11,61,0
2022,ev_cap_exo,11,61,0
2023,ev_cap_exo,11,61,0
2024,ev_cap_exo,11,61,0
2025,ev_cap_exo,11,61,0
2026,ev_cap_exo,11,61,0
2027,ev_cap_exo,11,61,0
2028,ev_cap_exo,11,61,0
2029,ev_cap_exo,11,61,0
2030,ev_cap_exo,11,61,0
2031,ev_cap_exo,11,61,0
2032,ev_cap_exo,11,61,0
2033,ev_cap_exo,11,61,0
2034,ev_cap_exo,11,61,0
2035,ev_cap_exo,11,61,0
2036,ev_cap_exo,11,61,0
2037,ev_cap_exo,11,61,0
2038,ev_cap_exo,11,61,0
2039,ev_cap_exo,11,61,0
2040,ev_cap_exo,11,61,0
2041,ev_cap_exo,11,61,0
2042,ev_cap_exo,11,61,0
2043,ev_cap_exo,11,61,0
2044,ev_cap_exo,11,61,0
2045,ev_cap_exo,11,61,0
2046,ev_cap_exo,11,61,0
2047,ev_cap_exo,11,61,0
2048,ev_cap_exo,11,61,0
2049,ev_cap_exo,11,61,0
2050,ev_cap_exo,11,61,0
2020,ev_cap_exo,11,70,134
2021,ev_cap_exo,11,70,134
2022,ev_cap_exo,11,70,134
2023,ev_cap_exo,11,70,134
2024,ev_cap_exo,11,70,134
2025,ev_cap_exo,11,70,134
2026,ev_cap_exo,11,70,134
2027,ev_cap_exo,11,70,134
2028,ev_cap_exo,11,70,134
2029,ev_cap_exo,11,70,134
2030,ev_cap_exo,11,70,134
2031,ev_cap_exo,11,70,134
2032,ev_cap_exo,11,70,134
2033,ev_cap_exo,11,70,134
2034,ev_cap_exo,11,70,134
2035,ev_cap_exo,11,70,134
2036,ev_cap_exo,11,70,134
2037,ev_cap_exo,11,70,134
2038,ev_cap_exo,11,70,134
2039,ev_cap_exo,11,70,134
2040,ev_cap_exo,11,70,134
2041,ev_cap_exo,11,70,134
2042,ev_cap_exo,11,70,134
2043,ev_cap_exo,11,70,134
2044,ev_cap_exo,11,70,134
2045,ev_cap_exo,11,70,134
2046,ev_cap_exo,11,70,134
2047,ev_cap_exo,11,70,134
2048,ev_cap_exo,11,70,134
2049,ev_cap_exo,11,70,134
2050,ev_cap_exo,11,70,134
2020,ev_cap_exo,12,50,560
2021,ev_cap_exo,12,50,560
2022,ev_cap_exo,12,50,560
2023,ev_cap_exo,12,50,560
2024,ev_cap_exo,12,50,560
2025,ev_cap_exo,12,50,560
2026,ev_cap_exo,12,50,560
2027,ev_cap_exo,12,50,560
2028,ev_cap_exo,12,50,560
2029,ev_cap_exo,12,50,560
2030,ev_cap_exo,12,50,560
2031,ev_cap_exo,12,50,560
2032,ev_cap_exo,12,50,560
2033,ev_cap_exo,12,50,560
2034,ev_cap_exo,12,50,560
2035,ev_cap_exo,12,50,560
2036,ev_cap_exo,12,50,560
2037,ev_cap_exo,12,50,560
2038,ev_cap_exo,12,50,560
2039,ev_cap_exo,12,50,560
2040,ev_cap_exo,12,50,560
2041,ev_cap_exo,12,50,560
2042,ev_cap_exo,12,50,560
2043,ev_cap_exo,12,50,560
2044,ev_cap_exo,12,50,560
2045,ev_cap_exo,12,50,560
2046,ev_cap_exo,12,50,560
2047,ev_cap_exo,12,50,560
2048,ev_cap_exo,12,50,560
2049,ev_cap_exo,12,50,560
2050,ev_cap_exo,12,50,560
2020,ev_cap_exo,12,51,174
2021,ev_cap_exo,12,51,174
2022,ev_cap_exo,12,51,174
2023,ev_cap_exo,12,51,174
2024,ev_cap_exo,12,51,174
2025,ev_cap_exo,12,51,174
2026,ev_cap_exo,12,51,174
2027,ev_cap_exo,12,51,174
2028,ev_cap_exo,12,51,174
2029,ev_cap_exo,12,51,174
2030,ev_cap_exo,12,51,174
2031,ev_cap_exo,12,51,174
2032,ev_cap_exo,12,51,174
2033,ev_cap_exo,12,51,174
2034,ev_cap_exo,12,51,174
2035,ev_cap_exo,12,51,174
2036,ev_cap_exo,12,51,174
2037,ev_cap_exo,12,51,174
2038,ev_cap_exo,12,51,174
2039,ev_cap_exo,12,51,174
2040,ev_cap_exo,12,51,174
2041,ev_cap_exo,12,51,174
2042,ev_cap_exo,12,51,174
2043,ev_cap_exo,12,51,174
2044,ev_cap_exo,12,51,174
2045,ev_cap_exo,12,51,174
2046,ev_cap_exo,12,51,174
2047,ev_cap_exo,12,51,174
2048,ev_cap_exo,12,51,174
2049,ev_cap_exo,12,51,174
2050,ev_cap_exo,12,51,174
2020,ev_cap_exo,12,52,0
2021,ev_cap_exo,12,52,0
2022,ev_cap_exo,12,52,0
2023,ev_cap_exo,12,52,0
2024,ev_cap_exo,12,52,0
2025,ev_cap_exo,12,52,0
2026,ev_cap_exo,12,52,0
2027,ev_cap_exo,12,52,0
2028,ev_cap_exo,12,52,0
2029,ev_cap_exo,12,52,0
2030,ev_cap_exo,12,52,0
2031,ev_cap_exo,12,52,0
2032,ev_cap_exo,12,52,0
2033,ev_cap_exo,12,52,0
2034,ev_cap_exo,12,52,0
2035,ev_cap_exo,12,52,0
2036,ev_cap_exo,12,52,0
2037,ev_cap_exo,12,52,0
2038,ev_cap_exo,12,52,0
2039,ev_cap_exo,12,52,0
2040,ev_cap_exo,12,52,0
2041,ev_cap_exo,12,52,0
2042,ev_cap_exo,12,52,0
2043,ev_cap_exo,12,52,0
2044,ev_cap_exo,12,52,0
2045,ev_cap_exo,12,52,0
2046,ev_cap_exo,12,52,0
2047,ev_cap_exo,12,52,0
2048,ev_cap_exo,12,52,0
2049,ev_cap_exo,12,52,0
2050,ev_cap_exo,12,52,0
2020,ev_cap_exo,12,53,15
2021,ev_cap_exo,12,53,15
2022,ev_cap_exo,12,53,15
2023,ev_cap_exo,12,53,15
2024,ev_cap_exo,12,53,15
2025,ev_cap_exo,12,53,15
2026,ev_cap_exo,12,53,15
2027,ev_cap_exo,12,53,15
2028,ev_cap_exo,12,53,15
2029,ev_cap_exo,12,53,15
2030,ev_cap_exo,12,53,15
2031,ev_cap_exo,12,53,15
2032,ev_cap_exo,12,53,15
2033,ev_cap_exo,12,53,15
2034,ev_cap_exo,12,53,15
2035,ev_cap_exo,12,53,15
2036,ev_cap_exo,12,53,15
2037,ev_cap_exo,12,53,15
2038,ev_cap_exo,12,53,15
2039,ev_cap_exo,12,53,15
2040,ev_cap_exo,12,53,15
2041,ev_cap_exo,12,53,15
2042,ev_cap_exo,12,53,15
2043,ev_cap_exo,12,53,15
2044,ev_cap_exo,12,53,15
2045,ev_cap_exo,12,53,15
2046,ev_cap_exo,12,53,15
2047,ev_cap_exo,12,53,15
2048,ev_cap_exo,12,53,15
2049,ev_cap_exo,12,53,15
2050,ev_cap_exo,12,53,15
2020,ev_cap_exo,12,60,14
2021,ev_cap_exo,12,60,14
2022,ev_cap_exo,12,60,14
2023,ev_cap_exo,12,60,14
2024,ev_cap_exo,12,60,14
2025,ev_cap_exo,12,60,14
2026,ev_cap_exo,12,60,14
2027,ev_cap_exo,12,60,14
2028,ev_cap_exo,12,60,14
2029,ev_cap_exo,12,60,14
2030,ev_cap_exo,12,60,14
2031,ev_cap_exo,12,60,14
2032,ev_cap_exo,12,60,14
2033,ev_cap_exo,12,60,14
2034,ev_cap_exo,12,60,14
2035,ev_cap_exo,12,60,14
2036,ev_cap_exo,12,60,14
2037,ev_cap_exo,12,60,14
2038,ev_cap_exo,12,60,14
2039,ev_cap_exo,12,60,14
2040,ev_cap_exo,12,60,14
2041,ev_cap_exo,12,60,14
2042,ev_cap_exo,12,60,14
2043,ev_cap_exo,12,60,14
2044,ev_cap_exo,12,60,14
2045,ev_cap_exo,12,60,14
2046,ev_cap_exo,12,60,14
2047,ev_cap_exo,12,60,14
2048,ev_cap_exo,12,60,14
2049,ev_cap_exo,12,60,14
2050,ev_cap_exo,12,60,14
2020,ev_cap_exo,12,61,0
2021,ev_cap_exo,12,61,0
2022,ev_cap_exo,12,61,0
2023,ev_cap_exo,12,61,0
2024,ev_cap_exo,12,61,0
2025,ev_cap_exo,12,61,0
2026,ev_cap_exo,12,61,0
2027,ev_cap_exo,12,61,0
2028,ev_cap_exo,12,61,0
2029,ev_cap_exo,12,61,0
2030,ev_cap_exo,12,61,0
2031,ev_cap_exo,12,61,0
2032,ev_cap_exo,12,61,0
2033,ev_cap_exo,12,61,0
2034,ev_cap_exo,12,61,0
2035,ev_cap_exo,12,61,0
2036,ev_cap_exo,12,61,0
2037,ev_cap_exo,12,61,0
2038,ev_cap_exo,12,61,0
2039,ev_cap_exo,12,61,0
2040,ev_cap_exo,12,61,0
2041,ev_cap_exo,12,61,0
2042,ev_cap_exo,12,61,0
2043,ev_cap_exo,12,61,0
2044,ev_cap_exo,12,61,0
2045,ev_cap_exo,12,61,0
2046,ev_cap_exo,12,61,0
2047,ev_cap_exo,12,61,0
2048,ev_cap_exo,12,61,0
2049,ev_cap_exo,12,61,0
2050,ev_cap_exo,12,61,0
2020,ev_cap_exo,12,70,46
2021,ev_cap_exo,12,70,46
2022,ev_cap_exo,12,70,46
2023,ev_cap_exo,12,70,46
2024,ev_cap_exo,12,70,46
2025,ev_cap_exo,12,70,46
2026,ev_cap_exo,12,70,46
2027,ev_cap_exo,12,70,46
2028,ev_cap_exo,12,70,46
2029,ev_cap_exo,12,70,46
2030,ev_cap_exo,12,70,46
2031,ev_cap_exo,12,70,46
2032,ev_cap_exo,12,70,46
2033,ev_cap_exo,12,70,46
2034,ev_cap_exo,12,70,46
2035,ev_cap_exo,12,70,46
2036,ev_cap_exo,12,70,46
2037,ev_cap_exo,12,70,46
2038,ev_cap_exo,12,70,46
2039,ev_cap_exo,12,70,46
2040,ev_cap_exo,12,70,46
2041,ev_cap_exo,12,70,46
2042,ev_cap_exo,12,70,46
2043,ev_cap_exo,12,70,46
2044,ev_cap_exo,12,70,46
2045,ev_cap_exo,12,70,46
2046,ev_cap_exo,12,70,46
2047,ev_cap_exo,12,70,46
2048,ev_cap_exo,12,70,46
2049,ev_cap_exo,12,70,46
2050,ev_cap_exo,12,70,46
2020,ev_cap_exo,13,50,376
2021,ev_cap_exo,13,50,376
2022,ev_cap_exo,13,50,376
2023,ev_cap_exo,13,50,376
2024,ev_cap_exo,13,50,376
2025,ev_cap_exo,13,50,376
2026,ev_cap_exo,13,50,376
2027,ev_cap_exo,13,50,376
2028,ev_cap_exo,13,50,376
2029,ev_cap_exo,13,50,376
2030,ev_cap_exo,13,50,376
2031,ev_cap_exo,13,50,376
2032,ev_cap_exo,13,50,376
2033,ev_cap_exo,13,50,376
2034,ev_cap_exo,13,50,376
2035,ev_cap_exo,13,50,376
2036,ev_cap_exo,13,50,376
2037,ev_cap_exo,13,50,376
2038,ev_cap_exo,13,50,376
2039,ev_cap_exo,13,50,376
2040,ev_cap_exo,13,50,376
2041,ev_cap_exo,13,50,376
2042,ev_cap_exo,13,50,376
2043,ev_cap_exo,13,50,376
2044,ev_cap_exo,13,50,376
2045,ev_cap_exo,13,50,376
2046,ev_cap_exo,13,50,376
2047,ev_cap_exo,13,50,376
2048,ev_cap_exo,13,50,376
2049,ev_cap_exo,13,50,376
2050,ev_cap_exo,13,50,376
2020,ev_cap_exo,13,51,123
2021,ev_cap_exo,13,51,123
2022,ev_cap_exo,13,51,123
2023,ev_cap_exo,13,51,123
2024,ev_cap_exo,13,51,123
2025,ev_cap_exo,13,51,123
2026,ev_cap_exo,13,51,123
2027,ev_cap_exo,13,51,123
2028,ev_cap_exo,13,51,123
2029,ev_cap_exo,13,51,123
2030,ev_cap_exo,13,51,123
2031,ev_cap_exo,13,51,123
2032,ev_cap_exo,13,51,123
2033,ev_cap_exo,13,51,123
2034,ev_cap_exo,13,51,123
2035,ev_cap_exo,13,51,123
2036,ev_cap_exo,13,51,123
2037,ev_cap_exo,13,51,123
2038,ev_cap_exo,13,51,123
2039,ev_cap_exo,13,51,123
2040,ev_cap_exo,13,51,123
2041,ev_cap_exo,13,51,123
2042,ev_cap_exo,13,51,123
2043,ev_cap_exo,13,51,123
2044,ev_cap_exo,13,51,123
2045,ev_cap_exo,13,51,123
2046,ev_cap_exo,13,51,123
2047,ev_cap_exo,13,51,123
2048,ev_cap_exo,13,51,123
2049,ev_cap_exo,13,51,123
2050,ev_cap_exo,13,51,123
2020,ev_cap_exo,13,52,0
2021,ev_cap_exo,13,52,0
2022,ev_cap_exo,13,52,0
2023,ev_cap_exo,13,52,0
2024,ev_cap_exo,13,52,0
2025,ev_cap_exo,13,52,0
2026,ev_cap_exo,13,52,0
2027,ev_cap_exo,13,52,0
2028,ev_cap_exo,13,52,0
2029,ev_cap_exo,13,52,0
2030,ev_cap_exo,13,52,0
2031,ev_cap_exo,13,52,0
2032,ev_cap_exo,13,52,0
2033,ev_cap_exo,13,52,0
2034,ev_cap_exo,13,52,0
2035,ev_cap_exo,13,52,0
2036,ev_cap_exo,13,52,0
2037,ev_cap_exo,13,52,0
2038,ev_cap_exo,13,52,0
2039,ev_cap_exo,13,52,0
2040,ev_cap_exo,13,52,0
2041,ev_cap_exo,13,52,0
2042,ev_cap_exo,13,52,0
2043,ev_cap_exo,13,52,0
2044,ev_cap_exo,13,52,0
2045,ev_cap_exo,13,52,0
2046,ev_cap_exo,13,52,0
2047,ev_cap_exo,13,52,0
2048,ev_cap_exo,13,52,0
2049,ev_cap_exo,13,52,0
2050,ev_cap_exo,13,52,0
2020,ev_cap_exo,13,53,10
2021,ev_cap_exo,13,53,10
2022,ev_cap_exo,13,53,10
2023,ev_cap_exo,13,53,10
2024,ev_cap_exo,13,53,10
2025,ev_cap_exo,13,53,10
2026,ev_cap_exo,13,53,10
2027,ev_cap_exo,13,53,10
2028,ev_cap_exo,13,53,10
2029,ev_cap_exo,13,53,10
2030,ev_cap_exo,13,53,10
2031,ev_cap_exo,13,53,10
2032,ev_cap_exo,13,53,10
2033,ev_cap_exo,13,53,10
2034,ev_cap_exo,13,53,10
2035,ev_cap_exo,13,53,10
2036,ev_cap_exo,13,53,10
2037,ev_cap_exo,13,53,10
2038,ev_cap_exo,13,53,10
2039,ev_cap_exo,13,53,10
2040,ev_cap_exo,13,53,10
2041,ev_cap_exo,13,53,10
2042,ev_cap_exo,13,53,10
2043,ev_cap_exo,13,53,10
2044,ev_cap_exo,13,53,10
2045,ev_cap_exo,13,53,10
2046,ev_cap_exo,13,53,10
2047,ev_cap_exo,13,53,10
2048,ev_cap_exo,13,53,10
2049,ev_cap_exo,13,53,10
2050,ev_cap_exo,13,53,10
2020,ev_cap_exo,13,60,9
2021,ev_cap_exo,13,60,9
2022,ev_cap_exo,13,60,9
2023,ev_cap_exo,13,60,9
2024,ev_cap_exo,13,60,9
2025,ev_cap_exo,13,60,9
2026,ev_cap_exo,13,60,9
2027,ev_cap_exo,13,60,9
2028,ev_cap_exo,13,60,9
2029,ev_cap_exo,13,60,9
2030,ev_cap_exo,13,60,9
2031,ev_cap_exo,13,60,9
2032,ev_cap_exo,13,60,9
2033,ev_cap_exo,13,60,9
2034,ev_cap_exo,13,60,9
2035,ev_cap_exo,13,60,9
2036,ev_cap_exo,13,60,9
2037,ev_cap_exo,13,60,9
2038,ev_cap_exo,13,60,9
2039,ev_cap_exo,13,60,9
2040,ev_cap_exo,13,60,9
2041,ev_cap_exo,13,60,9
2042,ev_cap_exo,13,60,9
2043,ev_cap_exo,13,60,9
2044,ev_cap_exo,13,60,9
2045,ev_cap_exo,13,60,9
2046,ev_cap_exo,13,60,9
2047,ev_cap_exo,13,60,9
2048,ev_cap_exo,13,60,9
2049,ev_cap_exo,13,60,9
2050,ev_cap_exo,13,60,9
2020,ev_cap_exo,13,61,0
2021,ev_cap_exo,13,61,0
2022,ev_cap_exo,13,61,0
2023,ev_cap_exo,13,61,0
2024,ev_cap_exo,13,61,0
2025,ev_cap_exo,13,61,0
2026,ev_cap_exo,13,61,0
2027,ev_cap_exo,13,61,0
2028,ev_cap_exo,13,61,0
2029,ev_cap_exo,13,61,0
2030,ev_cap_exo,13,61,0
2031,ev_cap_exo,13,61,0
2032,ev_cap_exo,13,61,0
2033,ev_cap_exo,13,61,0
2034,ev_cap_exo,13,61,0
2035,ev_cap_exo,13,61,0
2036,ev_cap_exo,13,61,0
2037,ev_cap_exo,13,61,0
2038,ev_cap_exo,13,61,0
2039,ev_cap_exo,13,61,0
2040,ev_cap_exo,13,61,0
2041,ev_cap_exo,13,61,0
2042,ev_cap_exo,13,61,0
2043,ev_cap_exo,13,61,0
2044,ev_cap_exo,13,61,0
2045,ev_cap_exo,13,61,0
2046,ev_cap_exo,13,61,0
2047,ev_cap_exo,13,61,0
